@relation SMILEfeatures

@attribute name string
@attribute pcm_LOGenergy_sma_linregerrA numeric
@attribute pcm_LOGenergy_sma_qregc3 numeric
@attribute pcm_LOGenergy_sma_linregerrA numeric

@data

'fixed_1 Dziaugsmas_01',1.911939,-14.38109,1.911939
'fixed_1 Dziaugsmas_02',1.877074,-13.89406,1.877074
'fixed_1 Dziaugsmas_03',1.973365,-14.87411,1.973365
'fixed_1 Dziaugsmas_04',2.636898,-16.52463,2.636898
'fixed_1 Dziaugsmas_05',2.127873,-13.05211,2.127873
'fixed_1 Dziaugsmas_06',2.042576,-14.39832,2.042576
'fixed_1 Dziaugsmas_07',2.051342,-16.30544,2.051342
'fixed_1 Dziaugsmas_08',1.85015,-14.94003,1.85015
'fixed_1 Dziaugsmas_09',1.703218,-13.20253,1.703218
'fixed_1 Dziaugsmas_10',2.059613,-14.11928,2.059613
'fixed_1 Dziaugsmas_100',1.543217,-12.29278,1.543217
'fixed_1 Dziaugsmas_11',1.784631,-13.88548,1.784631
'fixed_1 Dziaugsmas_12',2.29326,-14.14192,2.29326
'fixed_1 Dziaugsmas_13',2.175799,-15.16032,2.175799
'fixed_1 Dziaugsmas_14',1.902058,-13.15547,1.902058
'fixed_1 Dziaugsmas_15',2.396549,-15.48057,2.396549
'fixed_1 Dziaugsmas_16',1.820555,-15.00659,1.820555
'fixed_1 Dziaugsmas_17',1.890047,-15.00282,1.890047
'fixed_1 Dziaugsmas_18',1.756607,-13.45753,1.756607
'fixed_1 Dziaugsmas_19',1.973277,-14.60866,1.973277
'fixed_1 Dziaugsmas_20',2.305066,-16.00372,2.305066
'fixed_1 Dziaugsmas_21',2.375264,-15.22765,2.375264
'fixed_1 Dziaugsmas_22',2.035009,-11.97747,2.035009
'fixed_1 Dziaugsmas_23',2.283106,-12.75138,2.283106
'fixed_1 Dziaugsmas_24',1.834506,-13.37637,1.834506
'fixed_1 Dziaugsmas_25',2.050719,-13.26505,2.050719
'fixed_1 Dziaugsmas_26',1.935868,-12.98178,1.935868
'fixed_1 Dziaugsmas_27',2.434888,-13.88938,2.434888
'fixed_1 Dziaugsmas_28',1.75852,-14.53744,1.75852
'fixed_1 Dziaugsmas_29',2.377579,-13.39824,2.377579
'fixed_1 Dziaugsmas_30',1.9356,-13.96904,1.9356
'fixed_1 Dziaugsmas_31',1.926604,-13.07776,1.926604
'fixed_1 Dziaugsmas_32',1.568653,-11.48734,1.568653
'fixed_1 Dziaugsmas_33',1.426109,-11.46994,1.426109
'fixed_1 Dziaugsmas_34',1.848085,-13.44547,1.848085
'fixed_1 Dziaugsmas_35',1.790395,-12.87992,1.790395
'fixed_1 Dziaugsmas_36',1.744507,-12.8561,1.744507
'fixed_1 Dziaugsmas_37',1.719472,-14.05682,1.719472
'fixed_1 Dziaugsmas_38',1.811757,-13.6273,1.811757
'fixed_1 Dziaugsmas_39',2.166581,-14.92929,2.166581
'fixed_1 Dziaugsmas_40',2.000479,-12.20252,2.000479
'fixed_1 Dziaugsmas_41',2.005504,-13.94184,2.005504
'fixed_1 Dziaugsmas_42',1.609056,-12.23207,1.609056
'fixed_1 Dziaugsmas_43',1.800713,-12.84152,1.800713
'fixed_1 Dziaugsmas_44',1.722046,-13.63057,1.722046
'fixed_1 Dziaugsmas_45',2.12198,-14.00036,2.12198
'fixed_1 Dziaugsmas_46',1.889519,-14.22492,1.889519
'fixed_1 Dziaugsmas_47',2.196289,-10.88244,2.196289
'fixed_1 Dziaugsmas_48',2.148248,-14.86142,2.148248
'fixed_1 Dziaugsmas_49',1.626894,-11.22993,1.626894
'fixed_1 Dziaugsmas_50',1.894715,-13.89715,1.894715
'fixed_1 Dziaugsmas_51',2.430999,-14.65223,2.430999
'fixed_1 Dziaugsmas_52',1.988312,-13.50286,1.988312
'fixed_1 Dziaugsmas_53',2.026663,-13.72425,2.026663
'fixed_1 Dziaugsmas_54',2.000354,-14.48233,2.000354
